,latitud,longitud,property_type,property_rooms,property_surface_total,property_price
452597,-34.6128837,-58.3969404,Departamento,4.0,153.0,199500.0
232829,-34.628203,-58.462218,Departamento,4.0,151.0,335000.0
452841,-34.6283413,-58.4517024,Departamento,5.0,273.0,750000.0
187518,-34.6858532094,-58.4701234102,Casa,4.0,100.0,200000.0
382326,-34.6068013,-58.4163738,Departamento,2.0,44.0,70000.0
222680,-34.63611603,-58.48600006,PH,3.0,60.0,95000.0
233071,-34.5745001907,-58.4377241137,Departamento,3.0,67.0,215000.0
137722,-34.628812,-58.5255097,PH,1.0,37.0,78500.0
247780,-34.5489168,-58.4796794,Casa,5.0,369.0,600000.0
453096,-34.617977,-58.378587,Departamento,4.0,168.0,169000.0
38640,-34.6017988,-58.4688908,PH,5.0,130.0,145000.0
82414,-34.579161,-58.4557239,Departamento,1.0,31.0,54297.0
142202,-34.6232635273,-58.4371258312,Departamento,3.0,46.0,125000.0
175993,-34.579429,-58.434112,Departamento,2.0,46.0,127000.0
378918,-34.635648,-58.503296,Casa,6.0,516.0,240000.0
124873,-34.614104,-58.3939154,Departamento,3.0,66.0,99500.0
188886,-34.6277352,-58.430333,Departamento,5.0,191.0,552000.0
60652,-34.6327805,-58.4664128,Departamento,3.0,82.0,119900.0
171533,-34.5935487,-58.4404362,Departamento,2.0,49.0,128900.0
195446,-34.5872214,-58.40687,Departamento,2.0,46.0,140000.0
349947,-34.595608,-58.40995,Departamento,2.0,47.0,109900.0
159745,-34.609118,-58.427535,Departamento,1.0,33.0,54876.0
12442,-34.5912364,-58.398821,Departamento,2.0,33.0,99000.0
252747,-34.6383278557,-58.4732937813,Departamento,1.0,41.0,58900.0
352854,-34.5912974,-58.378101,Departamento,4.0,126.0,270000.0
298948,-34.5591931,-58.457759,Departamento,2.0,38.0,90000.0
428513,-34.625154,-58.4524816,Departamento,2.0,41.0,105000.0
332713,-34.5945608,-58.3870768,Departamento,3.0,105.0,220000.0
346101,-34.5672124609,-58.452176327,Departamento,3.0,78.0,175000.0
178135,-34.5892401,-58.3910319,Departamento,5.0,183.0,398000.0
165293,-34.6032562453,-58.4034750457,Departamento,3.0,100.0,149000.0
398900,-34.6274341,-58.4433231,Departamento,3.0,41.0,78000.0
431124,-34.6128771,-58.3630914,Departamento,3.0,94.0,410000.0
198834,-34.5829292,-58.4441351,Departamento,1.0,33.0,89500.0
307973,-34.5905684,-58.384887,Departamento,4.0,184.0,595000.0
131779,-34.6161128,-58.4590177,Departamento,3.0,79.0,157000.0
39648,-34.5985815,-58.3964681,Departamento,1.0,21.0,58900.0
92667,-34.5965227,-58.3871697,Departamento,4.0,137.0,308000.0
432752,-34.579523,-58.477985,PH,5.0,181.0,220000.0
426083,-34.5981367,-58.4171548,Departamento,1.0,29.0,66250.0
188149,-34.6045384,-58.4249555,Departamento,2.0,62.0,105740.0
204714,-34.5769,-58.4053444,Departamento,2.0,52.0,135000.0
432207,-34.5827078,-58.4949676,PH,4.0,88.0,135000.0
447143,-34.5466379,-58.4683747,Departamento,1.0,24.0,69900.0
167174,-34.5823907,-58.4093966,Departamento,1.0,37.0,110000.0
34449,-34.593233,-58.39654,Departamento,4.0,176.0,665000.0
95092,-34.5829168,-58.4019925,Departamento,4.0,120.0,340000.0
229561,-34.5560942,-58.4925109,PH,4.0,81.0,149900.0
452668,-34.6244852221,-58.4513113716,Departamento,2.0,21.0,54900.0
96771,-34.6095355,-58.3634936,Departamento,2.0,106.0,440000.0
107246,-34.5653017,-58.4356616,Departamento,4.0,152.0,445000.0
449733,-34.601164,-58.424221,Departamento,1.0,28.0,57900.0
427940,-34.6050849,-58.463468,Departamento,3.0,124.0,240131.0
353160,-34.5784188,-58.4832083,Departamento,2.0,43.0,85000.0
454367,-34.6012496,-58.3980545,Departamento,1.0,31.0,74000.0
56220,-34.5600111591,-58.443274498,Departamento,3.0,154.0,560000.0
254841,-34.5632208,-58.4925477,Departamento,3.0,104.0,219900.0
221769,-34.590465,-58.4057185,Departamento,5.0,172.0,450000.0
365105,-34.6021773066,-58.4293041513,Departamento,3.0,72.0,225900.0
135499,-34.603358,-58.3941249,Departamento,1.0,85.04444889256642,115000.0
49703,-34.5960231,-58.396664,Departamento,2.0,43.0,125000.0
362442,-34.5985399,-58.3896699,Departamento,2.0,59.04866488606089,115000.0
386277,-34.6221005,-58.3770677,Departamento,1.0,35.0,63000.0
179765,-34.5823413,-58.4410127,Departamento,4.0,190.0,350000.0
458475,-34.5842529,-58.4654,Departamento,2.0,53.0,133500.0
62276,-34.628187,-58.429586,Departamento,2.0,46.0,153000.0
80644,-34.6591473,-58.4916978,Departamento,1.0,27.0,55000.0
116460,-34.5767448,-58.4841078,Departamento,1.0,28.0,89000.0
428828,-34.6697242083,-58.4981078028,Departamento,3.0,45.0,37000.0
173671,-34.611664,-58.410692,Departamento,4.0,106.0,127000.0
66485,-34.5771392,-58.4236975,Departamento,2.0,56.0,150000.0
233693,-34.600362135,-58.4355282784,Departamento,4.0,96.0,250000.0
86968,-34.6415231,-58.4811522,Departamento,2.0,42.0,71000.0
440826,-34.5634392799,-58.467028141,Departamento,2.0,51.0,149000.0
139737,-34.5990369,-58.3638741,Departamento,3.0,128.0,650000.0
298238,-34.6362534,-58.4005296,Departamento,4.0,67.0,89000.0
26379,-34.6020184699,-58.4444046018,Departamento,2.0,38.0,81000.0
451158,-34.6473095,-58.3848604,PH,2.0,135.0,98000.0
313434,-34.5968076,-58.4003781,Departamento,2.0,58.28585705629864,105000.0
268225,-34.6129329,-58.4523815,Departamento,5.0,124.0,263000.0
434080,-34.5598624,-58.4642903,Departamento,2.0,37.0,98000.0
100751,-34.6132522,-58.4132729,Departamento,4.0,85.0,125000.0
438654,-34.5853481,-58.4254854,Departamento,3.0,72.0,229000.0
3844,-34.5955862,-58.4127103,Departamento,3.0,44.0,110000.0
236606,-34.6208079,-58.4355195,Departamento,3.0,56.0,145000.0
71065,-34.597675,-58.428569,Casa,6.0,383.0,699000.0
449850,-34.5569838755,-58.4795612514,Departamento,1.0,58.0,115400.0
184242,-34.6158038,-58.4571143,PH,1.0,376.0,299900.0
114601,-34.6226053,-58.4597591,Departamento,2.0,43.0,128000.0
297899,-34.5733443674,-58.4214184344,Departamento,2.0,44.0,290000.0
272751,-34.5665368,-58.4341118,Departamento,1.0,33.0,140000.0
96321,-34.5813718,-58.4234583,Departamento,1.0,30.0,76700.0
228398,-34.6264826,-58.4352041,PH,4.0,187.0,340000.0
94786,-34.6095433,-58.4464535,PH,3.0,110.0,174900.0
438047,-34.5977525,-58.3768238,Departamento,4.0,75.0,230000.0
228235,-34.58512,-58.4721256,Departamento,2.0,48.0,125000.0
203005,-34.608946,-58.400531,Departamento,2.0,42.0,65000.0
1372,-34.5797132,-58.5131743,Departamento,2.0,42.0,115000.0
203272,-34.6018697488,-58.4146199698,PH,3.0,91.0,188000.0
123757,-34.6270282474,-58.3784723282,Departamento,3.0,58.0,69900.0
17166,-34.5861127,-58.4774081,Departamento,1.0,34.0,82000.0
73874,-34.5570324,-58.4650432,PH,3.0,77.0,139000.0
254598,-34.6217382,-58.4390973,Departamento,2.0,51.42058658843839,61000.0
317940,-34.615576,-58.4634261,Departamento,3.0,66.0,145000.0
227996,-34.5592256,-58.4560277,Departamento,3.0,114.0,320000.0
192066,-34.5435115,-58.4618344,Departamento,2.0,42.0,109900.0
101098,-34.5970309,-58.4059738,Departamento,1.0,31.0,69000.0
330187,-34.5703507,-58.4860838,Departamento,1.0,33.0,77000.0
371533,-34.5985553,-58.3944814,Departamento,3.0,77.0,160000.0
167204,-34.5865866,-58.4136033,Departamento,3.0,120.0,350000.0
375353,-34.5926076,-58.4108793,Departamento,1.0,34.0,77500.0
66863,-34.6102679,-58.3629088,Departamento,3.0,110.0,440000.0
195636,-34.6180541,-58.5058408,PH,4.0,126.0,233000.0
26069,-34.5608347,-58.4617729,Departamento,2.0,60.0,169000.0
436234,-34.5632459,-58.4663226,Departamento,2.0,43.0,89000.0
229428,-34.6314852,-58.4923493,Departamento,1.0,22.0,59000.0
455395,-34.5797533,-58.483541,Departamento,2.0,44.0,69900.0
297824,-34.5677052,-58.4295059,Departamento,3.0,44.0,85500.0
21187,-34.5867025,-58.4012195,Departamento,2.0,52.0,150000.0
428091,-34.5919452,-58.3939464,Departamento,4.0,136.0,365000.0
21011,-34.6075889377,-58.4383925598,Departamento,2.0,30.0,80000.0
454886,-34.611826,-58.516024,Departamento,2.0,49.0,119900.0
355586,-34.5569753,-58.4580633,Departamento,2.0,38.0,105000.0
19430,-34.6132735,-58.391893,Departamento,1.0,46.0,89000.0
335348,-34.5522466,-58.485776,Casa,4.0,144.69547122078416,370000.0
150715,-34.6130428513,-58.3485603333,Departamento,2.0,72.0,120000.0
50449,-34.5536258,-58.459543,Departamento,1.0,45.0,125000.0
323152,-34.5941659746,-58.413053073,Departamento,3.0,58.0,140000.0
103682,-34.5610684,-58.459543,Departamento,5.0,263.0,650000.0
223115,-34.5535309,-58.4646131,PH,2.0,88.0,150000.0
204669,-34.550955,-58.465742,Departamento,2.0,39.0,85000.0
158005,-34.5652921,-58.4812435,Departamento,2.0,60.0,180000.0
106941,-34.6159146,-58.3725527,Departamento,3.0,60.0,135000.0
24324,-34.5670807,-58.432834,Departamento,1.0,32.0,135000.0
72333,-34.5918566591,-58.4259640582,Departamento,2.0,58.0,182000.0
79250,-34.5921785,-58.3962795,Departamento,3.0,69.0,275000.0
343327,-34.6230822,-58.4637341,Departamento,2.0,40.0,59900.0
261988,-34.587215,-58.4111497,Departamento,2.0,41.0,90000.0
257293,-34.5875383,-58.3998041,Casa,6.0,411.0,740000.0
141047,-34.5673686,-58.4869428,Departamento,2.0,44.0,110000.0
188591,-34.6368441,-58.4052139,PH,4.0,79.0,135000.0
204102,-34.5920707,-58.3955966,Departamento,4.0,121.0,360000.0
123642,-34.5740758,-58.4460573,Departamento,3.0,91.0475129609063,165000.0
240538,-34.5752568,-58.49089,Departamento,3.0,50.0,105000.0
242542,-34.5970822,-58.5086667,Departamento,4.0,186.0,445000.0
298012,-34.6130819,-58.5041947,Departamento,2.0,44.0,90000.0
439023,-34.5853481,-58.4254854,Departamento,3.0,72.0,229000.0
135340,-34.620559,-58.461123,Departamento,3.0,96.0,195000.0
159717,-34.548585,-58.45789,Departamento,2.0,48.0,238000.0
10131,-34.6061004,-58.3845648,Departamento,1.0,18.0,42000.0
414701,-34.5957003,-58.3811973,Departamento,3.0,265.0,400000.0
160565,-34.6040823,-58.4873675,PH,3.0,142.0,220000.0
206064,-34.5522269,-58.4689585,Departamento,3.0,68.0,255000.0
270409,-34.563005,-58.453674,Departamento,3.0,79.0,249900.0
387347,-34.5905033,-58.4088623,Departamento,4.0,115.41828273812922,212000.0
74558,-34.5704037,-58.4512698,Departamento,2.0,44.0,108000.0
84355,-34.6180817,-58.392666,Departamento,3.0,40.0,74000.0
206934,-34.6358396,-58.4949946,PH,4.0,134.0,154000.0
284320,-34.6187052,-58.4993511,PH,2.0,30.0,62500.0
308679,-34.6091214,-58.4451611,Departamento,2.0,42.0,75000.0
270361,-34.585378,-58.4249041,Departamento,3.0,69.0,208000.0
111083,-34.5593183,-58.4454754,Departamento,2.0,57.0,240000.0
454893,-34.5931753,-58.5046214,Departamento,2.0,52.0,140000.0
215631,-34.5926728,-58.404133,Departamento,5.0,173.0,395000.0
